iter	Passed	Remaining
797	1440	364
798	1442	362
799	1444	361
800	1445	359
801	1447	357
802	1449	355
803	1450	353
804	1452	351
805	1454	350
806	1456	348
807	1457	346
808	1459	344
809	1462	342
810	1463	341
811	1465	339
812	1466	337
813	1468	335
814	1471	333
815	1473	332
816	1475	330
817	1477	328
818	1479	326
819	1481	325
820	1483	323
821	1484	321
822	1486	319
823	1488	318
824	1490	316
825	1492	314
826	1494	312
827	1496	310
828	1498	309
829	1501	307
830	1503	305
831	1505	304
832	1507	302
833	1510	300
834	1512	298
835	1514	297
836	1516	295
837	1518	293
838	1520	291
839	1522	290
840	1525	288
841	1527	286
842	1528	284
843	1530	282
844	1532	281
845	1533	279
846	1535	277
847	1538	275
848	1540	273
849	1542	272
850	1544	270
851	1546	268
852	1548	266
853	1550	265
854	1552	263
855	1554	261
856	1556	259
857	1558	257
858	1560	256
859	1562	254
860	1564	252
861	1566	250
862	1568	248
863	1570	247
864	1572	245
865	1573	243
866	1575	241
867	1577	239
868	1578	238
869	1580	236
870	1583	234
871	1585	232
872	1586	230
873	1588	229
874	1590	227
875	1592	225
876	1594	223
877	1597	221
878	1599	220
879	1601	218
880	1603	216
881	1605	214
882	1607	212
883	1608	211
884	1611	209
885	1613	207
886	1615	205
887	1617	204
888	1619	202
889	1621	200
890	1622	198
891	1624	196
892	1625	194
893	1627	192
894	1629	191
895	1631	189
896	1632	187
897	1634	185
898	1636	183
899	1637	181
900	1639	180
901	1640	178
902	1642	176
903	1644	174
904	1646	172
905	1648	171
906	1650	169
907	1652	167
908	1655	165
909	1657	163
910	1659	162
911	1661	160
912	1663	158
913	1664	156
914	1666	154
915	1667	152
916	1669	151
917	1671	149
918	1672	147
919	1675	145
920	1676	143
921	1678	142
922	1680	140
923	1682	138
924	1685	136
925	1686	134
926	1688	133
927	1690	131
928	1692	129
929	1694	127
930	1695	125
931	1697	123
932	1699	122
933	1701	120
934	1703	118
935	1705	116
936	1707	114
937	1709	112
938	1710	111
939	1712	109
940	1714	107
941	1716	105
942	1717	103
943	1719	102
944	1721	100
945	1722	98
946	1724	96
947	1725	94
948	1727	92
949	1729	91
950	1731	89
951	1733	87
952	1734	85
953	1736	83
954	1737	81
955	1739	80
956	1741	78
957	1743	76
958	1745	74
959	1746	72
960	1748	70
961	1750	69
962	1751	67
963	1753	65
964	1754	63
965	1757	61
966	1759	60
967	1761	58
968	1763	56
969	1764	54
970	1766	52
971	1768	50
972	1769	49
973	1771	47
974	1773	45
975	1775	43
976	1776	41
977	1778	40
978	1780	38
979	1781	36
980	1783	34
981	1785	32
982	1787	30
983	1788	29
984	1790	27
985	1792	25
986	1794	23
987	1795	21
988	1797	19
989	1799	18
990	1801	16
991	1803	14
992	1805	12
993	1807	10
994	1809	9
995	1811	7
996	1812	5
997	1814	3
998	1816	1
999	1818	0
